City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
451,Abatskoye,RU,68.47,overcast clouds,56.2875,70.4555,Gostinitsa Abatskaya
454,San Vicente,AR,66.45,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
457,Silver City,US,75.16,broken clouds,32.7701,-108.2803,Copper Manor Motel
458,Mabaruma,GY,73.58,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
459,Miles City,US,74.52,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
461,Mumford,GH,73.99,overcast clouds,5.2618,-0.759,Spanish Villa
462,Amga,RU,73.09,scattered clouds,60.8953,131.9608,Algys
464,Mattru,SL,68.7,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
466,Agadir,MA,70.25,scattered clouds,30.4202,-9.5982,Iberostar Founty Beach
467,Vietri Sul Mare,IT,77.0,few clouds,40.6687,14.7253,Albergo del Centro Storico Salerno
468,Timbiqui,CO,74.34,light rain,2.7717,-77.6654,hotel diana
469,Zanjan,IR,80.29,few clouds,36.6736,48.4787,Qasr Hotel
471,Palmer,US,70.97,clear sky,42.1584,-72.3287,Wedgewood Motel
472,Jalu,LY,86.74,clear sky,29.0331,21.5482,صاحبة الفخامة
473,Muroto,JP,89.64,overcast clouds,33.2833,134.15,Oota Ryokan
476,Ranong,TH,82.33,light rain,9.9658,98.6348,Tinidee Hotel@Ranong
477,Saint-Joseph,RE,73.2,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
478,Talnakh,RU,79.86,clear sky,69.4865,88.3972,Talnakh Hotel
480,Bowen,AU,72.37,few clouds,-20.0167,148.2333,Castle Motor Lodge Motel
486,Karratha,AU,77.29,clear sky,-20.7377,116.8463,ibis Styles Karratha
488,Nadbai,IN,88.14,overcast clouds,27.2333,77.2,Rambharosi Meena
490,Kiama,AU,68.38,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
492,Sambava,MG,70.32,clear sky,-14.2667,50.1667,Melrose
494,Bethel,US,72.64,scattered clouds,41.3712,-73.414,Courtyard by Marriott Danbury
496,Bubaque,GW,79.65,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
498,Novoorsk,RU,72.25,clear sky,51.381,58.9813,Gostevoi dom >
501,Shelburne,CA,69.69,broken clouds,44.0787,-80.2041,The Retreat at the Farm
502,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
504,Pengcheng,CN,89.28,light rain,36.4311,114.17,Fengfeng Dianchang Hotel
505,Sao Joao Da Barra,BR,66.06,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
506,Sarti,GR,80.37,clear sky,40.1,23.9833,Vamvini Hotel
509,Sosnovoborsk,RU,69.35,broken clouds,56.1325,93.3589,"Barskiye Zadvorki, Banya"
510,Saint Anthony,US,73.92,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
513,Mashhad,IR,89.74,clear sky,36.297,59.6062,Khanye Sabz Hotel
515,Culfa,AZ,87.67,broken clouds,38.9558,45.6308,Hotel Araz
519,Nichinan,JP,88.75,scattered clouds,31.6,131.3667,Guest House Aki
520,Sevierville,US,76.15,overcast clouds,35.8681,-83.5618,The Lodge at Five Oaks
521,Belmonte,BR,66.7,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
522,Joura,IN,88.38,overcast clouds,26.3411,77.8115,agarwal dhram sala logde
